session,om,rr,dir,filter,n_full,t_full,expr_full,is_t,oos_n,oos_expr,oos_t,oos_pw,tier,dir_match,p_full,bh_rank,bh_crit,bh_pass_Kfamily
CME_REOPEN,15,1.5,short,none,340,-8.18,-0.2828,-8.64,103,-0.1601,-2.3,1.0,CAN_REFUTE,True,5.771963461000942e-15,1,2.51004016064257e-05,True
CME_REOPEN,15,2.0,short,none,340,-8.11,-0.3072,-8.48,103,-0.1835,-2.39,1.0,CAN_REFUTE,True,9.363262317284563e-15,2,5.02008032128514e-05,True
CME_REOPEN,15,1.0,short,none,340,-7.51,-0.2314,-8.06,103,-0.1206,-1.95,1.0,CAN_REFUTE,True,5.28649856774193e-13,3,7.530120481927712e-05,True
TOKYO_OPEN,5,1.0,short,none,498,-7.24,-0.2477,-8.76,150,-0.0645,-0.9,1.0,CAN_REFUTE,True,1.7164718205382093e-12,4,0.0001004016064257028,True
CME_REOPEN,5,2.0,short,none,428,-7.12,-0.2699,-10.41,129,0.0284,0.34,1.0,CAN_REFUTE,False,4.6048475756437435e-12,5,0.00012550200803212853,True
CME_REOPEN,5,1.5,short,none,428,-7.1,-0.2478,-10.05,129,0.0298,0.41,1.0,CAN_REFUTE,False,5.241829829401063e-12,6,0.00015060240963855423,True
CME_REOPEN,30,1.0,short,none,239,-7.18,-0.2695,-7.91,72,-0.1608,-1.96,1.0,CAN_REFUTE,True,8.852585813475414e-12,7,0.00017570281124497993,True
TOKYO_OPEN,5,2.0,short,none,498,-6.57,-0.3107,-8.2,150,-0.0716,-0.7,1.0,CAN_REFUTE,True,1.2720421972505565e-10,8,0.0002008032128514056,True
TOKYO_OPEN,5,1.5,short,none,498,-6.31,-0.2633,-8.11,150,-0.0323,-0.36,1.0,CAN_REFUTE,True,6.181390798334978e-10,9,0.00022590361445783133,True
CME_REOPEN,5,1.0,long,atr_20_pct<=40,92,-6.83,-0.3181,-6.34,28,-0.2782,-2.93,0.98,CAN_REFUTE,True,9.32676203251156e-10,10,0.00025100401606425706,True
CME_REOPEN,5,1.5,short,atr_20_pct<=40,103,-6.65,-0.3286,-5.53,31,-0.3729,-3.68,0.94,CAN_REFUTE,True,1.4790661384881034e-09,11,0.00027610441767068276,True
CME_REOPEN,5,2.0,short,atr_20_pct<=40,103,-6.35,-0.3234,-5.04,31,-0.3834,-3.84,0.89,CAN_REFUTE,True,6.0547694284029995e-09,12,0.00030120481927710846,True
CME_REOPEN,5,1.0,short,none,428,-5.9,-0.1826,-8.38,129,0.0492,0.79,1.0,CAN_REFUTE,False,7.407005553440639e-09,13,0.00032630522088353416,True
CME_REOPEN,5,1.5,long,atr_20_pct<=40,92,-6.21,-0.3125,-5.49,28,-0.2981,-2.98,0.94,CAN_REFUTE,True,1.5570381169993486e-08,14,0.00035140562248995986,True
CME_REOPEN,30,2.0,short,none,239,-5.82,-0.2797,-6.36,72,-0.1726,-1.63,0.98,CAN_REFUTE,True,1.8913018096708942e-08,15,0.00037650602409638556,True
CME_REOPEN,15,2.0,short,atr_20_pct>=60,200,-5.78,-0.322,-6.34,60,-0.1326,-1.22,0.98,CAN_REFUTE,True,2.8506919892549258e-08,16,0.0004016064257028112,True
CME_REOPEN,30,1.5,short,none,239,-5.74,-0.2528,-6.78,72,-0.1194,-1.21,0.99,CAN_REFUTE,True,2.869566773971935e-08,17,0.00042670682730923696,True
CME_REOPEN,5,2.0,long,atr_20_pct<=40,92,-5.76,-0.3086,-4.68,28,-0.332,-3.31,0.85,CAN_REFUTE,True,1.1304332015093562e-07,18,0.00045180722891566266,True
CME_REOPEN,15,1.5,short,atr_20_pct>=60,200,-5.48,-0.2802,-5.98,60,-0.1088,-1.12,0.97,CAN_REFUTE,True,1.2774509543528336e-07,19,0.0004769076305220884,True
TOKYO_OPEN,5,1.0,short,day_of_week==3,98,-5.66,-0.4157,-5.4,30,-0.3459,-2.29,0.93,CAN_REFUTE,True,1.5366624482008232e-07,20,0.0005020080321285141,True
TOKYO_OPEN,5,1.5,long,atr_20_pct<=40,124,-5.49,-0.3895,-4.23,38,-0.4675,-3.53,0.78,DIRECTIONAL_ONLY,True,2.198281523250688e-07,21,0.0005271084337349398,True
CME_REOPEN,5,1.0,short,atr_20_pct<=40,103,-5.54,-0.2682,-4.58,31,-0.319,-3.12,0.83,CAN_REFUTE,True,2.372197554014576e-07,22,0.0005522088353413655,True
COMEX_SETTLE,30,1.5,short,none,474,-5.22,-0.1933,-5.28,143,-0.1486,-1.86,0.93,CAN_REFUTE,True,2.6841477145703765e-07,23,0.0005773092369477912,True
TOKYO_OPEN,5,1.0,long,atr_20_pct<=40,124,-5.43,-0.3144,-3.7,38,-0.4687,-4.21,0.67,DIRECTIONAL_ONLY,True,2.8851588651831153e-07,24,0.0006024096385542169,True
COMEX_SETTLE,15,1.5,short,none,463,-5.16,-0.2073,-5.93,139,-0.0851,-0.99,0.97,CAN_REFUTE,True,3.673343076190518e-07,25,0.0006275100401606426,True
COMEX_SETTLE,5,1.0,short,none,489,-5.09,-0.1719,-5.55,147,-0.0885,-1.25,0.95,CAN_REFUTE,True,5.120111621363891e-07,26,0.0006526104417670683,True
CME_REOPEN,5,1.5,short,garch_forecast_vol_pct<=30,81,-5.11,-0.3423,-6.87,25,-0.1192,-0.76,0.99,CAN_REFUTE,True,2.145558302609035e-06,27,0.0006777108433734941,True
COMEX_SETTLE,30,2.0,short,none,474,-4.77,-0.1892,-5.21,143,-0.1189,-1.35,0.92,CAN_REFUTE,True,2.4577523398172775e-06,28,0.0007028112449799197,True
TOKYO_OPEN,5,1.0,long,none,504,-4.69,-0.1565,-6.55,152,0.0202,0.28,0.99,CAN_REFUTE,False,3.5246212996413763e-06,29,0.0007279116465863455,True
SINGAPORE_OPEN,5,1.0,short,garch_forecast_vol_pct<=30,92,-4.92,-0.3879,-5.23,28,-0.2476,-1.47,0.91,CAN_REFUTE,True,3.829208912763387e-06,30,0.0007530120481927711,True
TOKYO_OPEN,5,2.0,short,day_of_week==3,98,-4.88,-0.4703,-5.51,30,-0.2618,-1.24,0.94,CAN_REFUTE,True,4.162902297702337e-06,31,0.0007781124497991968,True
CME_REOPEN,30,1.0,short,atr_20_pct>=60,146,-4.74,-0.2628,-5.29,44,-0.0867,-0.83,0.92,CAN_REFUTE,True,5.052968688953e-06,32,0.0008032128514056224,True
COMEX_SETTLE,5,1.5,short,none,489,-4.6,-0.1888,-5.08,147,-0.088,-1.03,0.91,CAN_REFUTE,True,5.391410534709822e-06,33,0.0008283132530120483,True
CME_REOPEN,5,2.0,short,garch_forecast_vol_pct<=30,81,-4.84,-0.3478,-6.87,25,-0.0958,-0.56,0.99,CAN_REFUTE,True,6.215037522948718e-06,34,0.0008534136546184739,True
CME_REOPEN,5,2.0,short,day_of_week==2,83,-4.81,-0.4128,-6.59,25,-0.1036,-0.52,0.99,CAN_REFUTE,True,6.764606778865893e-06,35,0.0008785140562248997,True
COMEX_SETTLE,30,1.0,short,none,474,-4.55,-0.151,-3.73,143,-0.1785,-2.61,0.68,DIRECTIONAL_ONLY,True,6.827707817656141e-06,36,0.0009036144578313253,True
COMEX_SETTLE,5,1.5,long,none,510,-4.54,-0.1877,-4.76,153,-0.1092,-1.29,0.87,CAN_REFUTE,True,7.028602426548279e-06,37,0.000928714859437751,True
TOKYO_OPEN,15,1.0,short,none,478,-4.54,-0.1681,-5.63,144,-0.0153,-0.2,0.96,CAN_REFUTE,True,7.131491589985435e-06,38,0.0009538152610441768,True
CME_REOPEN,5,1.5,short,day_of_week==2,83,-4.77,-0.3839,-6.22,25,-0.0957,-0.54,0.97,CAN_REFUTE,True,7.903794537235098e-06,39,0.0009789156626506025,True
COMEX_SETTLE,15,2.0,short,none,463,-4.44,-0.1974,-5.17,139,-0.0796,-0.83,0.92,CAN_REFUTE,True,1.1265847469768628e-05,40,0.0010040160642570282,True
COMEX_SETTLE,5,2.0,short,none,489,-4.4,-0.2053,-4.75,147,-0.1093,-1.12,0.87,CAN_REFUTE,True,1.3303672629465976e-05,41,0.0010291164658634538,True
COMEX_SETTLE,15,1.0,long,none,514,-4.38,-0.1532,-4.72,155,-0.0724,-1.03,0.87,CAN_REFUTE,True,1.4394740576154278e-05,42,0.0010542168674698795,True
COMEX_SETTLE,15,1.5,short,atr_20_pct>=60,268,-4.41,-0.2397,-4.93,81,-0.1187,-1.02,0.89,CAN_REFUTE,True,1.500025988908587e-05,43,0.0010793172690763053,True
CME_REOPEN,15,1.0,short,atr_20_pct>=60,200,-4.42,-0.2008,-5.03,60,-0.0484,-0.57,0.9,CAN_REFUTE,True,1.6211048593838756e-05,44,0.001104417670682731,True
CME_REOPEN,15,2.0,short,atr_20_pct>=75,137,-4.44,-0.307,-4.66,42,-0.197,-1.36,0.86,CAN_REFUTE,True,1.84529746068468e-05,45,0.0011295180722891566,True
TOKYO_OPEN,5,2.0,long,atr_20_pct<=40,124,-4.43,-0.3633,-3.63,38,-0.3977,-2.51,0.65,DIRECTIONAL_ONLY,True,2.0576256542449245e-05,46,0.0011546184738955823,True
CME_REOPEN,5,1.0,long,none,433,-4.27,-0.1375,-6.34,130,0.0602,0.9,0.98,CAN_REFUTE,False,2.405261184281176e-05,47,0.001179718875502008,True
COMEX_SETTLE,30,1.0,short,day_of_week==1,92,-4.45,-0.3123,-3.62,28,-0.3846,-2.59,0.64,DIRECTIONAL_ONLY,True,2.4276438856504582e-05,48,0.0012048192771084338,True
TOKYO_OPEN,5,1.5,short,day_of_week==3,98,-4.39,-0.3849,-4.05,30,-0.3364,-1.9,0.74,DIRECTIONAL_ONLY,True,2.8889266844984844e-05,49,0.0012299196787148596,True
TOKYO_OPEN,5,1.0,short,atr_20_pct>=60,308,-4.19,-0.1896,-5.41,93,-0.0086,-0.09,0.94,CAN_REFUTE,True,3.650787916383402e-05,50,0.0012550200803212851,True
CME_REOPEN,5,2.0,short,atr_20_pct>=60,258,-4.2,-0.2314,-6.12,78,0.0478,0.4,0.98,CAN_REFUTE,False,3.683293607584196e-05,51,0.0012801204819277109,True
COMEX_SETTLE,30,1.5,short,day_of_week==0,99,-4.32,-0.3295,-3.36,30,-0.4226,-2.69,0.57,DIRECTIONAL_ONLY,True,3.743146357249669e-05,52,0.0013052208835341366,True
SINGAPORE_OPEN,5,1.5,short,garch_forecast_vol_pct<=30,92,-4.31,-0.4049,-4.41,28,-0.2862,-1.43,0.8,CAN_REFUTE,True,4.125076022099714e-05,53,0.0013303212851405624,True
COMEX_SETTLE,5,1.0,long,none,510,-4.13,-0.1408,-4.83,153,-0.0379,-0.54,0.88,CAN_REFUTE,True,4.239783105694017e-05,54,0.0013554216867469882,True
COMEX_SETTLE,5,1.5,long,atr_20_pct<=40,103,-4.25,-0.3401,-3.68,31,-0.3344,-2.12,0.65,DIRECTIONAL_ONLY,True,4.7388230851272134e-05,55,0.0013805220883534137,True
COMEX_SETTLE,5,1.5,short,overnight_range_pct>=70,161,-4.18,-0.3,-4.47,49,-0.1725,-1.15,0.83,CAN_REFUTE,True,4.7853218093465654e-05,56,0.0014056224899598394,True
SINGAPORE_OPEN,5,1.0,long,atr_20_pct<=40,114,-4.19,-0.2797,-3.75,35,-0.2487,-1.94,0.68,DIRECTIONAL_ONLY,True,5.5575869218159833e-05,57,0.001430722891566265,True
COMEX_SETTLE,5,1.0,short,overnight_range_pct>=70,161,-4.12,-0.2504,-4.03,49,-0.1968,-1.56,0.74,DIRECTIONAL_ONLY,True,6.062292712284664e-05,58,0.001455823293172691,True
COMEX_SETTLE,5,2.0,long,none,510,-4.04,-0.1903,-4.49,153,-0.0819,-0.84,0.83,CAN_REFUTE,True,6.170314262271654e-05,59,0.0014809236947791165,True
COMEX_SETTLE,5,2.0,long,atr_20_pct<=40,103,-4.15,-0.3709,-3.8,31,-0.3242,-1.82,0.67,DIRECTIONAL_ONLY,True,6.903547429060537e-05,60,0.0015060240963855422,True
COMEX_SETTLE,5,2.0,short,overnight_range_pct>=70,161,-4.08,-0.3245,-4.47,49,-0.1692,-1.01,0.83,CAN_REFUTE,True,7.08809305752419e-05,61,0.001531124497991968,True
COMEX_SETTLE,5,1.0,short,atr_20_pct>=60,280,-4.03,-0.1885,-4.33,84,-0.1008,-1.04,0.8,CAN_REFUTE,True,7.199630897898833e-05,62,0.0015562248995983935,True
CME_REOPEN,30,2.0,short,atr_20_pct>=60,146,-4.06,-0.2852,-4.43,44,-0.1243,-0.89,0.81,CAN_REFUTE,True,7.997558936920865e-05,63,0.0015813253012048193,True
COMEX_SETTLE,15,2.0,short,atr_20_pct>=60,268,-3.99,-0.2389,-4.78,81,-0.0871,-0.66,0.87,CAN_REFUTE,True,8.540350963526043e-05,64,0.0016064257028112448,True
CME_REOPEN,5,1.0,short,garch_forecast_vol_pct<=30,81,-4.14,-0.2674,-6.77,25,0.0469,0.33,0.99,CAN_REFUTE,False,8.54095427470846e-05,65,0.001631526104417671,True
LONDON_METALS,5,1.0,long,atr_20_pct<=25,80,-4.14,-0.3373,-3.98,24,-0.2245,-1.48,0.7,DIRECTIONAL_ONLY,True,8.627021049848365e-05,66,0.0016566265060240966,True
TOKYO_OPEN,5,1.5,long,atr_20_pct<=25,92,-4.11,-0.3396,-3.13,28,-0.4001,-2.69,0.52,DIRECTIONAL_ONLY,True,8.648010001220274e-05,67,0.0016817269076305223,True
COMEX_SETTLE,30,1.5,short,atr_20_pct>=60,270,-3.98,-0.2025,-3.67,81,-0.1877,-1.77,0.66,DIRECTIONAL_ONLY,True,8.870374153870713e-05,68,0.0017068273092369479,True
LONDON_METALS,5,1.0,long,none,516,-3.94,-0.1389,-5.3,155,0.0281,0.4,0.93,CAN_REFUTE,False,9.272074270635138e-05,69,0.0017319277108433736,True
COMEX_SETTLE,5,1.5,short,atr_20_pct>=60,280,-3.95,-0.2212,-4.33,84,-0.1057,-0.91,0.8,CAN_REFUTE,True,9.90470681719172e-05,70,0.0017570281124497994,True
COMEX_SETTLE,15,1.0,short,none,463,-3.92,-0.1404,-4.68,139,-0.0293,-0.4,0.86,CAN_REFUTE,True,0.00010195925833798244,71,0.001782128514056225,True
COMEX_SETTLE,30,2.0,short,day_of_week==0,99,-4.04,-0.3305,-2.94,30,-0.4498,-2.8,0.47,STATISTICALLY_USELESS,True,0.00010632872963603737,72,0.0018072289156626507,True
TOKYO_OPEN,5,1.0,short,day_of_week==2,99,-4.02,-0.2961,-3.2,30,-0.3734,-2.41,0.53,DIRECTIONAL_ONLY,True,0.0001143726309215453,73,0.0018323293172690762,True
TOKYO_OPEN,5,1.0,short,atr_20_pct<=40,104,-3.99,-0.266,-2.91,32,-0.3672,-2.76,0.47,STATISTICALLY_USELESS,True,0.00012388374088023797,74,0.001857429718875502,True
COMEX_SETTLE,5,2.0,long,day_of_week==0,97,-4.0,-0.396,-5.15,30,-0.1208,-0.54,0.91,CAN_REFUTE,True,0.00012454565004429505,75,0.001882530120481928,True
COMEX_SETTLE,5,1.0,long,atr_20_pct<=40,103,-3.99,-0.2669,-3.26,31,-0.3039,-2.28,0.54,DIRECTIONAL_ONLY,True,0.00012458057730463753,76,0.0019076305220883537,True
CME_REOPEN,5,1.5,short,atr_20_pct>=60,258,-3.88,-0.1954,-5.63,78,0.0575,0.55,0.96,CAN_REFUTE,False,0.00013279667767722184,77,0.0019327309236947792,True
CME_REOPEN,5,1.5,short,day_of_week==3,92,-3.98,-0.2638,-5.17,28,-0.0812,-0.53,0.91,CAN_REFUTE,True,0.00013835377133601776,78,0.001957831325301205,True
COMEX_SETTLE,5,2.0,short,atr_20_pct>=60,280,-3.85,-0.2437,-3.75,84,-0.1844,-1.43,0.68,DIRECTIONAL_ONLY,True,0.0001465186915900676,79,0.0019829317269076307,True
TOKYO_OPEN,5,1.0,long,atr_20_pct<=25,92,-3.93,-0.2597,-2.51,28,-0.4057,-3.35,0.36,STATISTICALLY_USELESS,True,0.00016535691399722723,80,0.0020080321285140565,True
COMEX_SETTLE,30,1.5,short,day_of_week==1,92,-3.92,-0.3146,-3.86,28,-0.2841,-1.57,0.69,DIRECTIONAL_ONLY,True,0.00017133138891040327,81,0.002033132530120482,True
EUROPE_FLOW,5,1.0,long,none,547,-3.76,-0.124,-4.63,165,-0.0146,-0.22,0.86,CAN_REFUTE,True,0.00018824586596675154,82,0.0020582329317269075,True
EUROPE_FLOW,5,1.5,short,day_of_week==0,90,-3.88,-0.3738,-3.8,28,-0.292,-1.47,0.69,DIRECTIONAL_ONLY,True,0.00019992440072932996,83,0.0020833333333333333,True
CME_REOPEN,15,2.0,short,garch_forecast_vol_pct>=70,95,-3.86,-0.2902,-4.33,29,-0.2036,-1.15,0.79,DIRECTIONAL_ONLY,True,0.000207944374573974,84,0.002108433734939759,True
CME_REOPEN,30,1.5,short,atr_20_pct>=60,146,-3.79,-0.2464,-4.71,44,-0.0233,-0.18,0.86,CAN_REFUTE,True,0.0002202879523731736,85,0.002133534136546185,True
EUROPE_FLOW,5,1.0,short,atr_20_pct<=40,115,-3.8,-0.2485,-4.22,35,-0.0858,-0.69,0.77,DIRECTIONAL_ONLY,True,0.00023389076577908733,86,0.0021586345381526106,True
COMEX_SETTLE,5,1.5,long,day_of_week==0,97,-3.82,-0.3488,-4.46,30,-0.1478,-0.76,0.82,CAN_REFUTE,True,0.00023671800558568322,87,0.0021837349397590363,True
TOKYO_OPEN,15,1.5,short,none,478,-3.67,-0.1682,-5.36,144,0.0709,0.76,0.94,CAN_REFUTE,False,0.00026992267973122966,88,0.002208835341365462,True
CME_REOPEN,5,2.0,short,day_of_week==3,92,-3.79,-0.2758,-5.93,28,-0.0128,-0.07,0.97,CAN_REFUTE,True,0.00027040743257360765,89,0.002233935742971888,True
COMEX_SETTLE,30,1.5,short,overnight_range_pct>=70,148,-3.73,-0.2571,-3.47,45,-0.2559,-1.68,0.61,DIRECTIONAL_ONLY,True,0.00027279715595125644,90,0.002259036144578313,True
EUROPE_FLOW,5,2.0,short,day_of_week==0,90,-3.78,-0.4103,-4.0,28,-0.2562,-1.13,0.74,DIRECTIONAL_ONLY,True,0.0002832875388261218,91,0.002284136546184739,True
COMEX_SETTLE,30,1.0,short,overnight_range_pct>=80,114,-3.74,-0.266,-2.61,35,-0.3798,-2.75,0.39,STATISTICALLY_USELESS,True,0.0002906621926446173,92,0.0023092369477911647,True
EUROPE_FLOW,5,1.0,short,day_of_week==0,90,-3.77,-0.3095,-3.96,28,-0.1899,-1.13,0.73,DIRECTIONAL_ONLY,True,0.0002932442955032287,93,0.0023343373493975904,True
TOKYO_OPEN,5,2.0,short,atr_20_pct>=60,308,-3.65,-0.2322,-4.67,93,-0.0205,-0.15,0.86,CAN_REFUTE,True,0.0003081189449666421,94,0.002359437751004016,True
LONDON_METALS,5,1.0,long,atr_20_pct<=40,114,-3.72,-0.2628,-3.93,35,-0.1366,-0.99,0.72,DIRECTIONAL_ONLY,True,0.00031193025470927784,95,0.002384538152610442,True
TOKYO_OPEN,5,1.0,short,day_of_week==1,93,-3.74,-0.296,-6.34,28,0.1502,0.9,0.98,CAN_REFUTE,False,0.0003196916179849062,96,0.0024096385542168677,True
TOKYO_OPEN,5,1.5,short,day_of_week==2,99,-3.73,-0.332,-3.47,30,-0.299,-1.6,0.6,DIRECTIONAL_ONLY,True,0.0003208864533109497,97,0.0024347389558232934,True
SINGAPORE_OPEN,5,2.0,short,garch_forecast_vol_pct<=30,92,-3.74,-0.4024,-4.03,28,-0.2419,-1.05,0.73,DIRECTIONAL_ONLY,True,0.00032146545136690864,98,0.002459839357429719,True
TOKYO_OPEN,15,1.0,long,atr_20_pct<=40,109,-3.71,-0.2581,-2.76,33,-0.3427,-2.48,0.42,STATISTICALLY_USELESS,True,0.0003293149629399931,99,0.002484939759036145,True
EUROPE_FLOW,5,2.0,short,atr_20_pct<=40,115,-3.7,-0.339,-3.86,35,-0.1966,-1.06,0.7,DIRECTIONAL_ONLY,True,0.0003334716130111621,100,0.0025100401606425703,True
TOKYO_OPEN,5,2.0,short,atr_20_pct<=40,104,-3.69,-0.347,-3.59,32,-0.2582,-1.37,0.64,DIRECTIONAL_ONLY,True,0.00036040941160322347,101,0.002535140562248996,True
TOKYO_OPEN,5,1.0,short,garch_forecast_vol_pct<=30,86,-3.7,-0.2947,-4.31,26,-0.1042,-0.63,0.78,DIRECTIONAL_ONLY,True,0.0003816954796060642,102,0.0025602409638554218,True
TOKYO_OPEN,5,1.5,short,atr_20_pct<=40,104,-3.67,-0.3025,-3.12,32,-0.3144,-1.93,0.52,DIRECTIONAL_ONLY,True,0.0003862533654813896,103,0.0025853413654618475,True
TOKYO_OPEN,5,1.5,long,none,504,-3.57,-0.1498,-5.45,152,0.0682,0.75,0.94,CAN_REFUTE,False,0.00039122705544755173,104,0.0026104417670682733,True
SINGAPORE_OPEN,5,1.5,short,day_of_week==2,92,-3.68,-0.3495,-2.76,28,-0.4497,-2.44,0.42,STATISTICALLY_USELESS,True,0.00039486221454892626,105,0.002635542168674699,True
COMEX_SETTLE,30,2.0,short,atr_20_pct>=60,270,-3.58,-0.1953,-3.67,81,-0.1417,-1.2,0.66,DIRECTIONAL_ONLY,True,0.00040754331309693316,106,0.002660642570281125,True
COMEX_SETTLE,30,1.5,short,overnight_range_pct>=80,114,-3.64,-0.2894,-3.03,35,-0.3295,-2.0,0.5,DIRECTIONAL_ONLY,True,0.0004126871131808036,107,0.0026857429718875506,True
COMEX_SETTLE,30,2.0,short,overnight_range_pct>=70,148,-3.6,-0.2631,-3.86,45,-0.2096,-1.22,0.7,DIRECTIONAL_ONLY,True,0.000434345485890278,108,0.0027108433734939763,True
SINGAPORE_OPEN,5,1.0,short,atr_20_pct<=40,114,-3.62,-0.2521,-2.66,35,-0.3356,-2.47,0.41,STATISTICALLY_USELESS,True,0.0004423150608635875,109,0.0027359437751004016,True
CME_REOPEN,15,1.5,short,garch_forecast_vol_pct>=70,95,-3.62,-0.254,-4.51,29,-0.1077,-0.66,0.82,CAN_REFUTE,True,0.00047699904047509374,110,0.0027610441767068274,True
LONDON_METALS,15,1.5,short,none,491,-3.49,-0.1638,-3.39,148,-0.1172,-1.27,0.6,DIRECTIONAL_ONLY,True,0.0005266278598890973,111,0.002786144578313253,True
SINGAPORE_OPEN,15,1.0,short,none,477,-3.49,-0.1369,-3.56,144,-0.0831,-1.07,0.64,DIRECTIONAL_ONLY,True,0.0005279466489361449,112,0.002811244979919679,True
CME_REOPEN,5,1.0,short,day_of_week==2,83,-3.59,-0.2712,-4.59,25,-0.0487,-0.3,0.82,CAN_REFUTE,True,0.0005618204714017547,113,0.0028363453815261046,True
CME_REOPEN,15,1.5,short,atr_20_pct>=75,137,-3.52,-0.2251,-3.57,42,-0.1524,-1.16,0.64,DIRECTIONAL_ONLY,True,0.0005875922960185249,114,0.00286144578313253,True
TOKYO_OPEN,5,1.5,short,atr_20_pct>=60,308,-3.47,-0.1928,-5.05,93,0.063,0.54,0.91,CAN_REFUTE,False,0.0005949823968036562,115,0.002886546184738956,True
TOKYO_OPEN,5,2.0,short,garch_forecast_vol_pct<=30,86,-3.54,-0.3864,-3.29,26,-0.3307,-1.5,0.55,DIRECTIONAL_ONLY,True,0.0006518089770187548,116,0.002911646586345382,True
COMEX_SETTLE,5,2.0,short,overnight_range_pct>=80,121,-3.47,-0.3178,-4.16,37,-0.1029,-0.53,0.77,DIRECTIONAL_ONLY,True,0.000723817946979859,117,0.0029367469879518077,True
COMEX_SETTLE,30,1.0,short,day_of_week==0,99,-3.49,-0.2526,-3.06,30,-0.2581,-1.72,0.5,STATISTICALLY_USELESS,True,0.0007255093709442311,118,0.002961847389558233,True
COMEX_SETTLE,30,1.0,short,atr_20_pct>=60,270,-3.41,-0.1556,-2.63,81,-0.1997,-2.16,0.4,STATISTICALLY_USELESS,True,0.0007493277010371197,119,0.0029869477911646587,True
SINGAPORE_OPEN,5,1.5,short,atr_20_pct<=40,114,-3.46,-0.2987,-2.62,35,-0.3697,-2.26,0.4,STATISTICALLY_USELESS,True,0.0007630034184139306,120,0.0030120481927710845,True
SINGAPORE_OPEN,5,2.0,short,day_of_week==2,92,-3.48,-0.3774,-3.18,28,-0.3397,-1.54,0.53,DIRECTIONAL_ONLY,True,0.0007717548010437581,121,0.0030371485943775102,True
TOKYO_OPEN,5,2.0,short,day_of_week==4,102,-3.46,-0.3487,-3.29,31,-0.2842,-1.38,0.56,DIRECTIONAL_ONLY,True,0.0007926929910426001,122,0.003062248995983936,True
COMEX_SETTLE,5,1.0,short,atr_20_pct>=75,201,-3.4,-0.1922,-3.81,61,-0.0798,-0.69,0.7,DIRECTIONAL_ONLY,True,0.0008134338251998744,123,0.0030873493975903613,True
COMEX_SETTLE,15,1.0,long,atr_20_pct<=40,104,-3.45,-0.2466,-2.9,32,-0.256,-1.84,0.47,STATISTICALLY_USELESS,True,0.0008137901409426985,124,0.003112449799196787,True
SINGAPORE_OPEN,5,1.0,short,atr_20_pct<=25,84,-3.46,-0.2709,-2.02,26,-0.4474,-3.35,0.25,STATISTICALLY_USELESS,True,0.0008554986349523806,125,0.0031375502008032133,True
COMEX_SETTLE,15,1.5,long,atr_20_pct<=40,104,-3.43,-0.2828,-3.22,32,-0.221,-1.39,0.55,DIRECTIONAL_ONLY,True,0.0008694997013055494,126,0.0031626506024096386,True
TOKYO_OPEN,5,1.5,short,day_of_week==1,93,-3.42,-0.323,-5.8,28,0.1236,0.57,0.96,CAN_REFUTE,False,0.0009353431344918664,127,0.0031877510040160643,True
EUROPE_FLOW,5,1.0,short,none,454,-3.33,-0.1201,-3.99,137,-0.0274,-0.37,0.74,DIRECTIONAL_ONLY,True,0.0009394308067528514,128,0.0032128514056224897,True
COMEX_SETTLE,15,1.0,short,day_of_week==1,96,-3.41,-0.258,-3.68,29,-0.1311,-0.84,0.65,DIRECTIONAL_ONLY,True,0.000955102686422778,129,0.003237951807228916,True
SINGAPORE_OPEN,5,2.0,short,atr_20_pct<=40,114,-3.39,-0.3326,-2.68,35,-0.3819,-2.07,0.41,STATISTICALLY_USELESS,True,0.0009633973484400726,130,0.003263052208835342,True
LONDON_METALS,5,1.5,long,none,516,-3.32,-0.1447,-4.59,155,0.0391,0.44,0.85,CAN_REFUTE,False,0.0009639622865087468,131,0.0032881526104417674,True
SINGAPORE_OPEN,5,2.0,short,atr_20_pct<=25,84,-3.41,-0.3687,-1.86,26,-0.6206,-3.92,0.22,STATISTICALLY_USELESS,True,0.001005284108112608,132,0.003313253012048193,True
COMEX_SETTLE,5,1.5,short,atr_20_pct>=75,201,-3.33,-0.2234,-3.5,61,-0.1281,-0.93,0.62,DIRECTIONAL_ONLY,True,0.001034054248393892,133,0.0033383534136546184,True
TOKYO_OPEN,5,2.0,long,atr_20_pct<=25,92,-3.39,-0.3217,-3.01,28,-0.2802,-1.57,0.48,STATISTICALLY_USELESS,True,0.0010351718151029054,134,0.0033634538152610446,True
TOKYO_OPEN,15,2.0,short,none,478,-3.3,-0.1755,-4.79,144,0.0664,0.6,0.88,CAN_REFUTE,False,0.0010392548966869943,135,0.00338855421686747,True
COMEX_SETTLE,30,2.0,short,overnight_range_pct>=80,114,-3.36,-0.2872,-3.24,35,-0.2637,-1.41,0.55,DIRECTIONAL_ONLY,True,0.001063586185677298,136,0.0034136546184738957,True
EUROPE_FLOW,15,1.0,long,garch_forecast_vol_pct<=30,107,-3.35,-0.2671,-3.69,33,-0.1211,-0.76,0.67,DIRECTIONAL_ONLY,True,0.0011202199512982277,137,0.003438755020080321,True
CME_REOPEN,5,1.0,short,day_of_week==3,92,-3.35,-0.2094,-4.76,28,0.0204,0.15,0.86,CAN_REFUTE,False,0.0011775910467128378,138,0.003463855421686747,True
CME_REOPEN,5,1.5,long,none,433,-3.25,-0.1258,-5.75,130,0.1318,1.61,0.96,CAN_REFUTE,False,0.0012442911967540306,139,0.0034889558232931725,True
