sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2025-08-20T00:00:00,,loss,-0.75,-0.75,0,0,23383.375,23424.0,short
IS,2025-08-21T00:00:00,,loss,-0.75,-0.75,0,0,23343.875,23303.25,long
IS,2025-08-22T00:00:00,,win,1.3023,1.3023,0,0,23208.0,23250.5,short
IS,2025-08-25T00:00:00,,loss,-0.75,-0.75,0,0,23623.375,23571.5,long
IS,2025-08-26T00:00:00,,loss,-0.75,-0.75,0,0,23642.5,23410.0,long
IS,2025-08-27T00:00:00,,loss,-0.75,-0.75,0,0,23581.75,23616.75,short
IS,2025-08-28T00:00:00,,loss,-0.75,-0.75,0,0,23529.0,23495.25,long
IS,2025-09-02T00:00:00,,loss,-0.75,-0.75,0,0,23411.625,23452.25,short
IS,2025-09-04T00:00:00,,win,1.4087,1.4087,0,0,23526.75,23430.5,long
IS,2025-09-08T00:00:00,,loss,-0.75,-0.75,0,0,23811.75,23765.5,long
IS,2025-09-09T00:00:00,,loss,-0.75,-0.75,0,0,23842.25,23802.25,long
IS,2025-09-11T00:00:00,,win,1.26,1.26,0,0,23871.375,23905.75,short
IS,2025-09-18T00:00:00,,loss,-0.75,-0.75,0,0,24542.25,24584.75,short
IS,2025-09-22T00:00:00,,loss,-0.75,-0.75,0,0,24888.125,24846.25,long
IS,2025-09-25T00:00:00,,loss,-0.75,-0.75,0,0,24794.375,24752.5,long
IS,2025-09-29T00:00:00,,win,1.3427,1.3427,0,0,24818.875,24764.5,long
IS,2025-09-30T00:00:00,,loss,-0.75,-0.75,0,0,24863.625,24805.5,long
IS,2025-10-02T00:00:00,,win,1.26,1.26,0,0,25053.625,25019.25,long
IS,2025-10-08T00:00:00,,win,1.3148,1.3148,0,0,25072.875,25027.25,long
IS,2025-10-10T00:00:00,,loss,-0.75,-0.75,0,0,25307.875,25346.0,short
IS,2025-10-13T00:00:00,,win,1.4063,1.4063,0,0,24851.5,24757.75,long
IS,2025-10-14T00:00:00,,win,1.3492,1.3492,0,0,24961.375,24904.5,long
IS,2025-10-15T00:00:00,,loss,-0.75,-0.75,0,0,24727.75,24782.75,short
IS,2025-10-16T00:00:00,,win,1.3594,1.3594,0,0,24895.25,24956.5,short
IS,2025-10-17T00:00:00,,win,1.375,1.375,0,0,24815.125,24745.75,long
IS,2025-10-20T00:00:00,,win,1.2968,1.2968,0,0,24976.25,25017.5,short
IS,2025-10-21T00:00:00,,win,1.3393,1.3393,0,0,25364.375,25311.25,long
IS,2025-10-22T00:00:00,,loss,-0.75,-0.75,0,0,25208.125,25256.25,short
IS,2025-10-23T00:00:00,,win,1.4223,1.4223,0,0,25064.75,24951.0,long
IS,2025-10-27T00:00:00,,loss,-0.75,-0.75,0,0,25766.875,25707.5,long
