sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2025-08-20T00:00:00,,loss,-1.0,-1.0,0,0,23400.5,23244.5,long
IS,2025-08-21T00:00:00,,win,1.8799,1.8799,0,0,23245.75,23140.75,long
IS,2025-08-22T00:00:00,,loss,-1.0,-1.0,0,0,23651.5,23602.75,long
IS,2025-08-26T00:00:00,,loss,-1.0,-1.0,0,0,23475.5,23540.0,short
IS,2025-08-28T00:00:00,,loss,-1.0,-1.0,0,0,23807.25,23754.75,long
IS,2025-09-04T00:00:00,,win,1.6805,1.6805,0,0,23603.25,23566.5,long
IS,2025-09-29T00:00:00,,loss,-1.0,-1.0,0,0,24881.75,24815.0,long
IS,2025-10-01T00:00:00,,loss,-1.0,-1.0,0,0,24943.75,24986.5,short
IS,2025-10-13T00:00:00,,loss,-1.0,-1.0,0,0,24860.0,24911.0,short
IS,2025-10-14T00:00:00,,win,1.9072,1.9072,0,0,24798.25,24935.5,short
IS,2025-10-15T00:00:00,,win,1.9192,1.9192,0,0,24897.0,24738.75,long
IS,2025-10-16T00:00:00,,win,1.9123,1.9123,0,0,24809.5,24955.0,short
IS,2025-10-17T00:00:00,,loss,-1.0,-1.0,0,0,24996.0,24851.25,long
IS,2025-10-20T00:00:00,,loss,-1.0,-1.0,0,0,25365.25,25333.0,long
IS,2025-10-21T00:00:00,,loss,-1.0,-1.0,0,0,25335.75,25273.5,long
IS,2025-10-22T00:00:00,,win,1.8876,1.8876,0,0,24811.25,24923.75,short
IS,2025-10-23T00:00:00,,scratch,1.3725,1.3725,1,0,25309.75,25204.75,long
IS,2025-10-29T00:00:00,,win,1.6746,1.6746,0,0,26258.75,26222.75,long
IS,2025-10-30T00:00:00,,loss,-1.0,-1.0,0,0,25982.5,26061.25,short
IS,2025-11-03T00:00:00,,win,1.8419,1.8419,0,0,26087.25,26166.0,short
IS,2025-11-04T00:00:00,,loss,-1.0,-1.0,0,0,25550.5,25648.0,short
IS,2025-11-05T00:00:00,,win,1.7256,1.7256,0,0,25867.75,25824.25,long
IS,2025-11-06T00:00:00,,loss,-1.0,-1.0,0,0,25406.0,25321.25,long
IS,2025-11-07T00:00:00,,loss,-1.0,-1.0,0,0,24870.5,24935.0,short
IS,2025-11-10T00:00:00,,win,1.8671,1.8671,0,0,25727.0,25632.5,long
IS,2025-11-11T00:00:00,,loss,-1.0,-1.0,0,0,25579.25,25655.75,short
IS,2025-11-12T00:00:00,,loss,-1.0,-1.0,0,0,25669.0,25603.0,long
IS,2025-11-13T00:00:00,,loss,-1.0,-1.0,0,0,24997.25,25074.5,short
IS,2025-11-14T00:00:00,,loss,-1.0,-1.0,0,0,25066.25,25190.0,short
IS,2025-11-17T00:00:00,,win,1.8501,1.8501,0,0,25040.5,24957.25,long
IS,2025-11-18T00:00:00,,loss,-1.0,-1.0,0,0,24910.5,24728.25,long
IS,2025-11-19T00:00:00,,loss,-1.0,-1.0,0,0,24736.75,24587.5,long
IS,2025-11-20T00:00:00,,win,1.9633,1.9633,0,0,24168.5,24522.5,short
IS,2025-11-21T00:00:00,,win,1.9525,1.9525,0,0,24520.5,24248.25,long
IS,2025-11-24T00:00:00,,loss,-1.0,-1.0,0,0,24993.0,24913.5,long
IS,2025-11-26T00:00:00,,loss,-1.0,-1.0,0,0,25225.25,25349.0,short
IS,2025-12-01T00:00:00,,loss,-1.0,-1.0,0,0,25493.0,25463.0,long
IS,2025-12-02T00:00:00,,loss,-1.0,-1.0,0,0,25484.25,25576.5,short
IS,2025-12-03T00:00:00,,loss,-1.0,-1.0,0,0,25663.5,25626.75,long
IS,2025-12-05T00:00:00,,win,1.7859,1.7859,0,0,25701.5,25758.5,short
IS,2025-12-08T00:00:00,,loss,-1.0,-1.0,0,0,25693.75,25604.5,long
IS,2025-12-11T00:00:00,,win,1.7455,1.7455,0,0,25659.0,25611.75,long
IS,2025-12-15T00:00:00,,loss,-1.0,-1.0,0,0,25198.25,25079.0,long
IS,2025-12-16T00:00:00,,win,1.9207,1.9207,0,0,25363.25,25202.0,long
IS,2025-12-17T00:00:00,,loss,-1.0,-1.0,0,0,25053.75,24993.75,long
IS,2025-12-18T00:00:00,,loss,-1.0,-1.0,0,0,25452.5,25362.5,long
IS,2025-12-19T00:00:00,,loss,-1.0,-1.0,0,0,25527.0,25579.5,short
IS,2025-12-31T00:00:00,,win,1.6485,1.6485,0,0,25629.5,25596.5,long
IS,2020-01-03T00:00:00,,win,1.6862,1.6862,0,0,8812.5,8850.0,short
IS,2020-01-08T00:00:00,,loss,-1.0,-1.0,0,0,8950.75,8938.0,long
IS,2020-01-27T00:00:00,,loss,-1.0,-1.0,0,0,8979.0,9008.25,short
IS,2020-02-03T00:00:00,,win,1.6684,1.6684,0,0,9141.75,9106.5,long
