sample,trading_day,strategy_id,outcome,pnl_r_raw,pnl_r_effective,scratch,null_pnl_non_scratch,target_price,stop_price,direction
IS,2025-10-07T00:00:00,,loss,-1.0,-1.0,0,0,25288.5,25213.5,long
IS,2025-10-08T00:00:00,,loss,-1.0,-1.0,0,0,25248.5,25174.0,long
IS,2025-10-09T00:00:00,,win,0.8896,0.8896,0,0,25236.0,25286.0,short
IS,2025-10-10T00:00:00,,win,0.9509,0.9509,0,0,25255.25,25371.25,short
IS,2025-10-13T00:00:00,,loss,-1.0,-1.0,0,0,24947.75,24864.75,long
IS,2025-10-14T00:00:00,,win,0.9507,0.9507,0,0,24670.0,24554.5,long
IS,2025-10-15T00:00:00,,win,0.9072,0.9072,0,0,25073.25,25013.25,long
IS,2025-10-16T00:00:00,,loss,-1.0,-1.0,0,0,25120.0,25035.0,long
IS,2025-10-17T00:00:00,,loss,-1.0,-1.0,0,0,24990.25,24776.25,long
IS,2025-10-20T00:00:00,,win,0.9215,0.9215,0,0,25281.75,25210.25,long
IS,2025-10-21T00:00:00,,win,0.9086,0.9086,0,0,25273.0,25212.0,long
IS,2025-10-22T00:00:00,,win,0.9347,0.9347,0,0,25194.5,25281.0,short
IS,2025-10-23T00:00:00,,win,0.9283,0.9283,0,0,25097.75,25176.25,short
IS,2025-10-24T00:00:00,,loss,-1.0,-1.0,0,0,25569.0,25492.5,long
IS,2025-10-27T00:00:00,,loss,-1.0,-1.0,0,0,25808.25,25876.25,short
IS,2025-10-28T00:00:00,,win,0.8755,0.8755,0,0,26033.75,26077.75,short
IS,2025-10-29T00:00:00,,win,0.934,0.934,0,0,26241.0,26326.5,short
IS,2025-10-30T00:00:00,,win,0.9667,0.9667,0,0,26007.0,26179.5,short
IS,2025-10-31T00:00:00,,loss,-1.0,-1.0,0,0,26165.0,26062.5,long
IS,2025-11-03T00:00:00,,loss,-1.0,-1.0,0,0,26056.5,26145.0,short
IS,2025-11-04T00:00:00,,win,0.8781,0.8781,0,0,25841.0,25886.0,short
IS,2025-11-05T00:00:00,,loss,-1.0,-1.0,0,0,25747.75,25642.75,long
IS,2025-11-06T00:00:00,,loss,-1.0,-1.0,0,0,25614.5,25413.0,long
IS,2025-11-07T00:00:00,,loss,-1.0,-1.0,0,0,24837.75,25033.75,short
IS,2025-11-10T00:00:00,,loss,-1.0,-1.0,0,0,25674.75,25620.75,long
IS,2025-11-11T00:00:00,,win,0.9199,0.9199,0,0,25558.5,25628.5,short
IS,2025-11-12T00:00:00,,loss,-1.0,-1.0,0,0,25690.25,25582.25,long
IS,2025-11-13T00:00:00,,loss,-1.0,-1.0,0,0,25504.25,25323.75,long
IS,2025-11-14T00:00:00,,loss,-1.0,-1.0,0,0,25024.75,24900.25,long
IS,2025-11-17T00:00:00,,win,0.9743,0.9743,0,0,24991.5,25216.0,short
IS,2025-11-18T00:00:00,,loss,-1.0,-1.0,0,0,24679.25,24434.25,long
IS,2025-11-19T00:00:00,,win,0.9456,0.9456,0,0,24984.75,24880.25,long
IS,2025-11-20T00:00:00,,win,0.9401,0.9401,0,0,25205.75,25300.25,short
IS,2025-11-21T00:00:00,,loss,-1.0,-1.0,0,0,23919.0,24229.0,short
IS,2025-11-24T00:00:00,,loss,-1.0,-1.0,0,0,24819.75,24678.25,long
IS,2025-11-25T00:00:00,,win,0.9827,0.9827,0,0,24989.5,24654.0,long
IS,2025-11-26T00:00:00,,win,0.9564,0.9564,0,0,25265.75,25134.75,long
IS,2025-11-28T00:00:00,,loss,-1.0,-1.0,0,0,25340.0,25389.5,short
IS,2025-12-01T00:00:00,,loss,-1.0,-1.0,0,0,25295.0,25385.0,short
IS,2025-12-02T00:00:00,,loss,-1.0,-1.0,0,0,25698.0,25595.0,long
IS,2025-12-03T00:00:00,,win,0.9663,0.9663,0,0,25659.25,25488.75,long
IS,2025-12-04T00:00:00,,loss,-1.0,-1.0,0,0,25604.5,25549.0,long
IS,2025-12-05T00:00:00,,loss,-1.0,-1.0,0,0,25870.5,25767.0,long
IS,2025-12-08T00:00:00,,win,0.9312,0.9312,0,0,25695.5,25777.5,short
IS,2025-12-09T00:00:00,,win,0.9461,0.9461,0,0,25723.0,25617.5,long
IS,2025-12-10T00:00:00,,loss,-1.0,-1.0,0,0,25663.5,25605.0,long
IS,2025-12-11T00:00:00,,win,0.9614,0.9614,0,0,25538.75,25390.25,long
IS,2025-12-12T00:00:00,,win,0.9643,0.9643,0,0,25398.75,25559.25,short
IS,2025-12-15T00:00:00,,win,0.955,0.955,0,0,25102.25,25229.25,short
IS,2025-12-16T00:00:00,,win,0.9693,0.9693,0,0,25221.0,25408.5,short
IS,2025-12-17T00:00:00,,loss,-1.0,-1.0,0,0,25220.5,25340.0,short
IS,2025-12-18T00:00:00,,win,0.9274,0.9274,0,0,25223.5,25301.0,short
IS,2025-12-19T00:00:00,,win,0.9473,0.9473,0,0,25493.0,25601.0,short
IS,2025-12-22T00:00:00,,win,0.943,0.943,0,0,25655.0,25754.5,short
IS,2025-12-23T00:00:00,,win,0.9586,0.9586,0,0,25765.25,25627.25,long
IS,2025-12-24T00:00:00,,win,0.8015,0.8015,0,0,25830.5,25804.0,long
IS,2025-12-26T00:00:00,,loss,-1.0,-1.0,0,0,25796.0,25884.0,short
IS,2025-12-29T00:00:00,,win,0.9274,0.9274,0,0,25664.0,25741.5,short
IS,2025-12-30T00:00:00,,win,0.8974,0.8974,0,0,25707.5,25761.5,short
IS,2025-12-31T00:00:00,,win,0.8728,0.8728,0,0,25572.25,25615.25,short
IS,2024-08-02T00:00:00,,win,0.9633,0.9633,0,0,18465.75,18621.75,short
IS,2024-08-05T00:00:00,,loss,-1.0,-1.0,0,0,17647.5,18112.5,short
